mode,n,k,m,tpg,mean_ms,std_ms,gflops
gpu-uniform,4194304,2048,1,64,49.4699,0.1905,694.558
gpu-uniform,4194304,2048,1,128,48.5488,0.3674,707.736
gpu-uniform,4194304,2048,1,256,49.3106,0.0671,696.803
gpu-uniform,4194304,2048,1,512,49.1784,0.0541,698.675
